data id,Recorded on
1,2/6/2023
2,12/4/2022
3,11/7/2022
4,5/7/2022
5,7/30/2022
6,9/26/2022
7,11/28/2022
8,9/14/2022
9,9/17/2022
10,7/18/2022
11,12/15/2022
12,11/13/2022
13,1/22/2023
14,6/13/2022
15,8/1/2022
16,7/29/2022
17,10/11/2022
18,1/30/2023
19,4/17/2022
20,11/12/2022
21,10/13/2022
22,5/13/2022
23,9/14/2022
24,3/11/2023
25,1/10/2023
26,11/12/2022
27,9/11/2022
28,1/24/2023
29,3/8/2023
30,6/26/2022
31,4/7/2023
32,1/11/2023
33,6/22/2022
34,2/2/2023
35,1/8/2023
36,10/18/2022
37,3/1/2023
38,12/5/2022
39,6/27/2022
40,3/4/2023
41,8/26/2022
42,1/20/2023
43,2/24/2023
44,3/12/2023
45,7/2/2022
46,10/8/2022
47,11/4/2022
48,8/8/2022
49,6/12/2022
50,3/16/2023
51,10/2/2022
52,2/6/2023
53,1/27/2023
54,2/27/2023
55,11/7/2022
56,3/6/2023
57,2/9/2023
58,1/17/2023
59,5/14/2022
60,10/8/2022
61,7/1/2022
62,11/19/2022
63,8/6/2022
64,4/6/2023
65,1/2/2023
66,4/28/2022
67,6/19/2022
68,2/11/2023
69,4/13/2022
70,8/24/2022
71,8/29/2022
72,2/27/2023
73,8/25/2022
74,4/25/2022
75,5/1/2022
76,6/3/2022
77,3/29/2023
78,3/2/2023
79,8/8/2022
80,8/12/2022
81,4/7/2023
82,5/31/2022
83,2/25/2023
84,9/24/2022
85,7/28/2022
86,6/11/2022
87,11/5/2022
88,3/18/2023
89,7/17/2022
90,2/9/2023
91,4/12/2022
92,7/17/2022
93,7/10/2022
94,1/29/2023
95,3/8/2023
96,7/24/2022
97,12/29/2022
98,7/9/2022
99,2/25/2023
100,8/3/2022
101,12/27/2022
102,1/16/2023
103,2/26/2023
104,8/7/2022
105,4/30/2022
106,5/21/2022
107,8/12/2022
108,1/21/2023
109,7/9/2022
110,3/23/2023
111,10/26/2022
112,5/14/2022
113,12/17/2022
114,12/21/2022
115,12/19/2022
116,12/21/2022
117,5/15/2022
118,10/7/2022
119,5/14/2022
120,2/7/2023
121,4/6/2023
122,3/10/2023
123,7/8/2022
124,6/24/2022
125,5/9/2022
126,11/26/2022
127,4/12/2022
128,5/4/2022
129,3/12/2023
130,11/9/2022
131,1/24/2023
132,10/25/2022
133,7/20/2022
134,4/7/2023
135,1/1/2023
136,2/24/2023
137,11/21/2022
138,9/10/2022
139,9/29/2022
140,12/2/2022
141,4/16/2022
142,5/9/2022
143,2/3/2023
144,3/5/2023
145,1/24/2023
146,4/25/2022
147,2/6/2023
148,10/2/2022
149,9/23/2022
150,1/6/2023
151,5/21/2022
152,6/11/2022
153,9/12/2022
154,6/21/2022
155,1/13/2023
156,2/26/2023
157,5/12/2022
158,3/7/2023
159,7/16/2022
160,8/28/2022
161,9/9/2022
162,1/8/2023
163,4/28/2022
164,4/29/2022
165,1/1/2023
166,5/1/2022
167,3/15/2023
168,9/14/2022
169,6/8/2022
170,10/2/2022
171,7/10/2022
172,10/7/2022
173,11/15/2022
174,2/5/2023
175,9/8/2022
176,9/9/2022
177,12/3/2022
178,1/9/2023
179,11/13/2022
180,12/6/2022
181,11/15/2022
182,2/16/2023
183,6/18/2022
184,9/27/2022
185,12/20/2022
186,2/18/2023
187,5/12/2022
188,12/1/2022
189,3/20/2023
190,9/10/2022
191,9/2/2022
192,12/11/2022
193,6/21/2022
194,9/9/2022
195,10/19/2022
196,2/7/2023
197,11/25/2022
198,10/9/2022
199,11/13/2022
200,8/7/2022
201,4/5/2023
202,1/26/2023
203,4/27/2022
204,9/6/2022
205,11/24/2022
206,2/1/2023
207,6/17/2022
208,8/18/2022
209,4/23/2022
210,9/7/2022
211,4/5/2023
212,2/16/2023
213,11/5/2022
214,12/30/2022
215,9/30/2022
216,7/6/2022
217,10/27/2022
218,4/13/2022
219,6/15/2022
220,11/29/2022
221,10/23/2022
222,1/23/2023
223,6/30/2022
224,5/4/2022
225,8/3/2022
226,6/24/2022
227,3/8/2023
228,5/18/2022
229,9/15/2022
230,8/5/2022
231,9/21/2022
232,7/9/2022
233,10/6/2022
234,11/5/2022
235,5/16/2022
236,3/25/2023
237,6/1/2022
238,7/19/2022
239,2/11/2023
240,8/10/2022
241,5/4/2022
242,6/19/2022
243,5/26/2022
244,12/18/2022
245,9/2/2022
246,5/22/2022
247,8/6/2022
248,5/23/2022
249,1/29/2023
250,6/1/2022
251,9/3/2022
252,3/8/2023
253,10/15/2022
254,3/1/2023
255,1/25/2023
256,3/20/2023
257,4/7/2023
258,3/5/2023
259,8/31/2022
260,5/25/2022
261,11/30/2022
262,11/6/2022
263,3/5/2023
264,12/6/2022
265,11/27/2022
266,6/24/2022
267,10/29/2022
268,4/5/2023
269,8/20/2022
270,8/26/2022
271,2/5/2023
272,9/19/2022
273,5/8/2022
274,6/4/2022
275,2/26/2023
276,8/10/2022
277,6/23/2022
278,10/7/2022
279,8/27/2022
280,2/2/2023
281,10/3/2022
282,8/21/2022
283,7/24/2022
284,5/5/2022
285,9/14/2022
286,12/11/2022
287,2/14/2023
288,5/9/2022
289,2/13/2023
290,7/1/2022
291,11/23/2022
292,2/25/2023
293,4/24/2022
294,6/5/2022
295,8/23/2022
296,3/12/2023
297,4/7/2023
298,12/29/2022
299,5/29/2022
300,1/26/2023
301,12/3/2022
302,6/1/2022
303,12/24/2022
304,9/26/2022
305,7/25/2022
306,9/3/2022
307,12/31/2022
308,8/31/2022
309,10/31/2022
310,10/16/2022
311,10/15/2022
312,4/2/2023
313,2/10/2023
314,3/20/2023
315,7/15/2022
316,1/15/2023
317,7/11/2022
318,8/14/2022
319,11/12/2022
320,2/20/2023
321,3/16/2023
322,12/31/2022
323,1/30/2023
324,7/13/2022
325,6/3/2022
326,9/28/2022
327,1/12/2023
328,3/18/2023
329,5/29/2022
330,6/1/2022
331,8/5/2022
332,2/23/2023
333,6/3/2022
334,11/19/2022
335,6/12/2022
336,7/12/2022
337,8/13/2022
338,3/27/2023
339,8/22/2022
340,8/26/2022
341,6/18/2022
342,11/10/2022
343,9/6/2022
344,1/10/2023
345,12/24/2022
346,7/12/2022
347,5/6/2022
348,8/16/2022
349,3/27/2023
350,11/28/2022
351,10/6/2022
352,1/7/2023
353,3/14/2023
354,8/26/2022
355,2/3/2023
356,3/5/2023
357,8/11/2022
358,12/28/2022
359,6/29/2022
360,12/2/2022
361,11/19/2022
362,5/19/2022
363,4/7/2023
364,7/27/2022
365,10/27/2022
366,3/10/2023
367,12/30/2022
368,8/10/2022
369,2/18/2023
370,3/1/2023
371,10/14/2022
372,11/26/2022
373,12/5/2022
374,10/18/2022
375,12/26/2022
376,1/23/2023
377,7/27/2022
378,2/8/2023
379,4/28/2022
380,9/11/2022
381,5/29/2022
382,11/29/2022
383,4/1/2023
384,1/10/2023
385,8/10/2022
386,3/27/2023
387,1/19/2023
388,1/17/2023
389,10/17/2022
390,3/31/2023
391,2/4/2023
392,2/26/2023
393,2/22/2023
394,12/24/2022
395,2/17/2023
396,1/4/2023
397,3/13/2023
398,9/8/2022
399,9/21/2022
400,10/2/2022
401,3/2/2023
402,11/6/2022
403,2/17/2023
404,2/13/2023
405,6/6/2022
406,12/18/2022
407,3/18/2023
408,9/11/2022
409,4/9/2022
410,10/15/2022
411,6/7/2022
412,11/11/2022
413,12/12/2022
414,4/29/2022
415,11/22/2022
416,5/13/2022
417,6/14/2022
418,11/20/2022
419,5/14/2022
420,12/19/2022
421,8/31/2022
422,3/3/2023
423,10/21/2022
424,7/15/2022
425,6/24/2022
426,3/19/2023
427,10/13/2022
428,5/13/2022
429,5/11/2022
430,12/3/2022
431,12/25/2022
432,5/20/2022
433,12/26/2022
434,11/1/2022
435,8/4/2022
436,2/12/2023
437,5/13/2022
438,11/6/2022
439,9/12/2022
440,4/10/2022
441,1/21/2023
442,3/26/2023
443,6/19/2022
444,8/7/2022
445,7/19/2022
446,2/16/2023
447,10/14/2022
448,6/4/2022
449,10/20/2022
450,1/19/2023
451,4/4/2023
452,7/9/2022
453,6/1/2022
454,3/17/2023
455,9/9/2022
456,5/28/2022
457,7/23/2022
458,6/27/2022
459,1/17/2023
460,4/30/2022
461,10/17/2022
462,11/5/2022
463,5/9/2022
464,8/25/2022
465,6/9/2022
466,11/5/2022
467,11/27/2022
468,8/13/2022
469,12/30/2022
470,1/16/2023
471,4/4/2023
472,8/4/2022
473,1/15/2023
